financial_year,council,Estimated resident population (no.),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2022-2023,GREATER DANDENONG CITY COUNCIL,"160,100",56212,55659,Weekly,31550.0,44527.0,Fortnightly,Yes,14183.0,"1,235.8",36.2,67.2,"44,670","49,203",80.8,"4,230.00",33.4,14.2,5.1,15.9,21.0,2.1,2.0,6.5,2.5,21.4,4.0,16.7,0.9,2.0,58.1,64.4,"-4,396","51,670",2.9,"11,502","2,542","37,633","39,906",3.1
2018-2019,GREATER GEELONG CITY COUNCIL,"270,932",110037,110037,Weekly,45000.0,110037.0,Fortnightly,No,36000.0,217.1,39.2,63.0,"52,125","60,938",77.5,"9,307.10",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2019-2020,GREATER GEELONG CITY COUNCIL,"270,932",113358,113358,Weekly,52232.0,113358.0,Fortnightly,No,39369.0,217.1,39.2,63.0,"52,125","60,938",77.5,"9,307.10",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2020-2021,GREATER GEELONG CITY COUNCIL,"270,932",114697,114697,Weekly,56093.0,114697.0,Fortnightly,No,39633.0,217.1,39.2,63.0,"52,125","60,938",77.5,"9,307.10",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2021-2022,GREATER GEELONG CITY COUNCIL,"270,932",124000,121500,Weekly,56250.0,121400.0,Fortnightly,No,41000.0,217.1,39.2,63.0,"52,125","60,938",77.5,"9,307.10",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2022-2023,GREATER GEELONG CITY COUNCIL,"270,932",117474,122000,Weekly,56288.0,122000.0,Fortnightly,No,39710.0,217.1,39.2,63.0,"52,125","60,938",77.5,"9,307.10",44.0,1.5,1.3,1.0,44.4,1.2,5.6,2.8,0.7,2.1,0.9,2.9,0.7,0.7,17.6,11.7,"4,305","103,508",2.4,"28,649","3,926","70,933","72,099",2.9
2018-2019,GREATER SHEPPARTON CITY COUNCIL,"68,526",26027,26848,Weekly,13166.01,22623.0,Fortnightly,Yes,7097.34,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3.0
2019-2020,GREATER SHEPPARTON CITY COUNCIL,"68,526",28934,28934,Weekly,13678.0,22985.0,Fortnightly,Yes,9285.0,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3.0
2020-2021,GREATER SHEPPARTON CITY COUNCIL,"68,526",28934,28934,Weekly,13980.11,23049.0,Fortnightly,Yes,8505.74,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3.0
2021-2022,GREATER SHEPPARTON CITY COUNCIL,"68,526",26220,25555,Weekly,14036.05,23767.0,Fortnightly,Yes,9426.9,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3.0
2022-2023,GREATER SHEPPARTON CITY COUNCIL,"68,526",23099,28901,Weekly,13818.0,24182.0,Fortnightly,Yes,8313.0,28.3,39.3,61.7,"47,001","52,673",78.8,"2,035.60",45.1,6.4,1.4,1.0,34.8,1.5,2.3,2.2,1.9,2.5,0.7,4.9,0.3,1.0,17.3,17.6,-276,"24,795",2.5,"6,901",783,"17,106","17,523",3.0
2018-2019,HEPBURN SHIRE COUNCIL,"16,485",7248,7367,Weekly,4865.0,,,,,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2019-2020,HEPBURN SHIRE COUNCIL,"16,485",7612,7418,Weekly,4893.01,,,,,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2020-2021,HEPBURN SHIRE COUNCIL,"16,485",9000,8295,Weekly,3454.0,,,,,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2021-2022,HEPBURN SHIRE COUNCIL,"16,485",5571,5571,Weekly,3366.29,943.0,Weekly,Yes,160.0,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2022-2023,HEPBURN SHIRE COUNCIL,"16,485",6950,8029,Weekly,3125.8,943.0,Weekly,Yes,140.0,11.2,51.9,58.1,"47,603","56,990",66.5,495.1,34.8,0.2,0.4,1.2,52.5,1.4,7.3,1.6,0.2,0.9,0.4,0.6,1.0,0.6,14.0,4.8,150,"6,846",2.2,"2,232",188,"4,425","4,500",2.7
2018-2019,HINDMARSH SHIRE COUNCIL,"5,656",2417,2535,Weekly,1544.0,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2019-2020,HINDMARSH SHIRE COUNCIL,"5,656",2417,2770,Weekly,1244.0,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2020-2021,HINDMARSH SHIRE COUNCIL,"5,656",2417,2770,Weekly,1234.0,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2021-2022,HINDMARSH SHIRE COUNCIL,"5,656",2551,2366,Weekly,1682.0,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2022-2023,HINDMARSH SHIRE COUNCIL,"5,656",2507,2777,Weekly,1689.72,,,,,0.8,50.1,57.3,"46,797","49,409",63.9,193,53.0,0.3,0.5,1.3,35.9,0.9,2.9,0.3,0.1,4.4,0.1,1.1,0.3,0.6,10.5,7.1,4,"2,367",2.2,794,71,"1,499","1,516",2.8
2018-2019,HOBSONS BAY CITY COUNCIL,"92,267",38864,37463,Weekly,19565.0,26015.0,Fortnightly,,6702.0,"1,436.3",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3.0
2019-2020,HOBSONS BAY CITY COUNCIL,"92,267",39059,37866,Fortnightly,19807.0,37866.0,Weekly,Yes,11047.0,"1,436.3",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3.0
2020-2021,HOBSONS BAY CITY COUNCIL,"92,267",40079,39888,Fortnightly,14345.0,38805.0,Weekly,Yes,14735.0,"1,436.3",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3.0
2021-2022,HOBSONS BAY CITY COUNCIL,"92,267",37831,38453,Weekly,15672.0,38453.0,Fortnightly,Yes,12999.0,"1,436.3",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3.0
2022-2023,HOBSONS BAY CITY COUNCIL,"92,267",37318,38447,Weekly,17037.55,38447.0,Fortnightly,Yes,11284.8,"1,436.3",39.5,65.5,"62,143","74,537",80.4,"4,077.90",44.6,5.1,2.3,2.2,38.7,2.4,6.0,7.0,2.1,4.8,1.5,3.6,1.6,1.1,30.1,27.1,"-1,784","34,663",2.5,"9,118","1,003","24,545","24,972",3.0
2018-2019,HORSHAM RURAL CITY COUNCIL,"20,376",9264,9264,Weekly,5489.84,,,,,4.8,41.2,60.5,"48,516","52,803",73.0,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2019-2020,HORSHAM RURAL CITY COUNCIL,"20,376",9341,8966,Weekly,6009.22,,,,,4.8,41.2,60.5,"48,516","52,803",73.0,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2020-2021,HORSHAM RURAL CITY COUNCIL,"20,376",9434,9034,Weekly,6029.29,,,,,4.8,41.2,60.5,"48,516","52,803",73.0,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2021-2022,HORSHAM RURAL CITY COUNCIL,"20,376",9585,9150,Weekly,6393.0,,,,,4.8,41.2,60.5,"48,516","52,803",73.0,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2022-2023,HORSHAM RURAL CITY COUNCIL,"20,376",9049,9215,Fortnightly,5719.08,7921.0,Fortnightly,Yes,441.73,4.8,41.2,60.5,"48,516","52,803",73.0,706.7,48.4,0.4,0.8,0.5,42.7,0.6,2.0,0.6,0.2,1.5,0.3,1.3,0.3,0.4,7.1,4.7,-63,"8,216",2.3,"2,597",226,"5,394","5,463",2.9
2018-2019,HUME CITY COUNCIL,"246,920",77261,77261,Weekly,47386.0,30433.0,Fortnightly,,7408.0,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2019-2020,HUME CITY COUNCIL,"246,920",76930,76770,Weekly,50397.0,31807.0,Fortnightly,Yes,10696.0,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2020-2021,HUME CITY COUNCIL,"246,920",80515,80152,Weekly,54349.0,35331.0,Fortnightly,Yes,12630.0,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2021-2022,HUME CITY COUNCIL,"246,920",89655,80803,Weekly,54552.0,38296.0,Fortnightly,Yes,13872.0,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2022-2023,HUME CITY COUNCIL,"246,920",87094,85380,Weekly,54277.76,42058.0,Fortnightly,Yes,13347.86,490.1,33.6,66.7,"51,202","57,210",81.6,"6,782.20",43.3,18.9,4.8,2.5,19.3,2.6,2.1,3.8,14.4,3.1,0.6,11.5,0.6,1.1,39.8,48.8,"1,433","75,740",3.1,"12,954","1,782","61,006","63,644",3.3
2018-2019,INDIGO SHIRE COUNCIL,"17,251",7145,7319,Fortnightly,2250.82,5271.0,Weekly,Yes,2124.0,8.5,47.5,59.2,"52,000","57,322",73.0,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2019-2020,INDIGO SHIRE COUNCIL,"17,251",8610,8610,Fortnightly,2055.0,5085.0,Weekly,Yes,2442.0,8.5,47.5,59.2,"52,000","57,322",73.0,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2020-2021,INDIGO SHIRE COUNCIL,"17,251",8612,8612,Fortnightly,2267.0,5488.0,Weekly,Yes,2838.0,8.5,47.5,59.2,"52,000","57,322",73.0,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2021-2022,INDIGO SHIRE COUNCIL,"17,251",6540,7786,Fortnightly,2210.0,5628.0,Weekly,Yes,3049.0,8.5,47.5,59.2,"52,000","57,322",73.0,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2022-2023,INDIGO SHIRE COUNCIL,"17,251",5461,7576,Fortnightly,2285.3,5737.0,Weekly,Yes,2925.2,8.5,47.5,59.2,"52,000","57,322",73.0,558.7,42.9,0.1,0.2,0.4,47.7,1.1,5.0,0.6,0.1,0.6,0.2,0.2,0.5,0.2,8.6,2.3,89,"6,615",2.4,"1,725",123,"4,774","4,854",2.8
2018-2019,KINGSTON CITY COUNCIL,"159,554",64000,63000,Weekly,28765.0,48000.0,Fortnightly,,13779.0,"1,746.3",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3.0
2019-2020,KINGSTON CITY COUNCIL,"159,554",63638,63638,Weekly,29087.0,48300.0,Fortnightly,Yes,16855.0,"1,746.3",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3.0
2020-2021,KINGSTON CITY COUNCIL,"159,554",65412,65412,Weekly,27767.0,50441.0,Fortnightly,Yes,20068.0,"1,746.3",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3.0
2021-2022,KINGSTON CITY COUNCIL,"159,554",54357,63465,Weekly,27845.0,50089.0,Fortnightly,Yes,19340.0,"1,746.3",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3.0
2022-2023,KINGSTON CITY COUNCIL,"159,554",65140,64016,Weekly,26941.0,51965.0,Fortnightly,Yes,18913.74,"1,746.3",41.1,64.4,"40,322","44,946",60.7,79.4,45.2,1.5,2.9,2.8,40.6,1.9,6.5,5.7,1.5,4.1,3.7,5.2,1.4,1.7,31.8,26.0,"-2,173","60,940",2.5,"16,388","1,699","42,855","43,676",3.0
2018-2019,KNOX CITY COUNCIL,"160,481",60497,60497,Weekly,28032.42,42132.0,Fortnightly,,14923.0,"1,408.8",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3.0
2019-2020,KNOX CITY COUNCIL,"160,481",61309,61309,Weekly,28515.72,43369.0,Fortnightly,,18339.0,"1,408.8",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3.0
2020-2021,KNOX CITY COUNCIL,"160,481",62873,62873,Weekly,29468.0,43839.0,Fortnightly,,18689.46,"1,408.8",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3.0
2021-2022,KNOX CITY COUNCIL,"160,481",63318,60316,Weekly,29471.0,44474.0,Fortnightly,No,17121.0,"1,408.8",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3.0
2022-2023,KNOX CITY COUNCIL,"160,481",60781,61004,Weekly,27804.06,44474.0,Fortnightly,No,17545.48,"1,408.8",40.4,65.3,"55,096","63,292",79.9,"5,989.50",42.7,1.5,3.6,4.3,41.6,1.5,5.4,2.7,1.5,6.3,7.2,6.2,0.8,1.2,33.0,28.7,"-2,263","57,422",2.7,"12,185","1,397","43,837","45,145",3.0
2018-2019,LATROBE CITY COUNCIL,"77,117",35919,34831,Weekly,15027.0,30739.0,Fortnightly,No,7860.0,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2019-2020,LATROBE CITY COUNCIL,"77,117",35940,35000,Weekly,15756.0,30952.0,Fortnightly,No,11037.0,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2020-2021,LATROBE CITY COUNCIL,"77,117",36250,35525,Weekly,16498.0,31416.0,Fortnightly,No,10458.0,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2021-2022,LATROBE CITY COUNCIL,"77,117",35837,31529,Weekly,16599.0,32050.0,Fortnightly,No,11275.0,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2022-2023,LATROBE CITY COUNCIL,"77,117",35123,31529,Weekly,16276.0,32050.0,Fortnightly,No,10163.0,54.1,41.5,61.4,"49,580","55,972",77.6,371.1,40.4,0.8,0.4,0.7,48.1,1.2,5.2,2.0,0.3,1.6,0.4,1.1,0.5,0.5,12.8,6.6,183,"30,610",2.3,"9,859",833,"19,915","20,265",2.9
2018-2019,LODDON SHIRE COUNCIL,"7,703",3425,3414,Weekly,2349.0,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2019-2020,LODDON SHIRE COUNCIL,"7,703",4000,3818,Weekly,1600.0,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2020-2021,LODDON SHIRE COUNCIL,"7,703",3489,3818,Weekly,1465.532,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2021-2022,LODDON SHIRE COUNCIL,"7,703",4403,3280,Weekly,1692.9,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2022-2023,LODDON SHIRE COUNCIL,"7,703",2454,2548,Weekly,1602.8,,,,,1.2,52.4,56.3,"42,408","47,279",60.7,194.2,45.8,0.3,0.2,0.5,40.4,1.0,3.8,0.7,0.1,1.8,0.1,0.3,0.3,0.3,8.6,3.1,66,"3,049",2.2,"1,022",80,"1,946","1,973",2.8
2018-2019,MACEDON RANGES SHIRE COUNCIL,"51,599",19060,19060,Weekly,9222.3,11000.0,Fortnightly,No,2969.0,29.5,43.0,61.1,"58,106","71,721",73.8,"2,122.20",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3.0
2019-2020,MACEDON RANGES SHIRE COUNCIL,"51,599",19490,19275,Fortnightly,6600.0,14425.0,Weekly,Yes,7200.0,29.5,43.0,61.1,"58,106","71,721",73.8,"2,122.20",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3.0
2020-2021,MACEDON RANGES SHIRE COUNCIL,"51,599",19088,19088,Fortnightly,7170.0,14569.0,Weekly,Yes,8504.0,29.5,43.0,61.1,"58,106","71,721",73.8,"2,122.20",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3.0
2021-2022,MACEDON RANGES SHIRE COUNCIL,"51,599",21695,20240,Weekly,6360.67,20240.0,Weekly,Yes,10815.94,29.5,43.0,61.1,"58,106","71,721",73.8,"2,122.20",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3.0
2022-2023,MACEDON RANGES SHIRE COUNCIL,"51,599",19605,19287,Fortnightly,5886.0,19287.0,Weekly,Yes,10184.0,29.5,43.0,61.1,"58,106","71,721",73.8,"2,122.20",42.0,0.3,0.2,0.6,49.5,1.5,6.7,1.5,0.3,0.8,0.4,0.5,0.9,0.5,13.1,4.5,691,"18,060",2.7,"3,610",302,"14,147","14,419",3.0
2018-2019,MANNINGHAM CITY COUNCIL,"125,821",48363,44099,Weekly,19648.52,43422.0,Fortnightly,No,13859.04,"1,110.0",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3.0
2019-2020,MANNINGHAM CITY COUNCIL,"125,821",49303,44636,Weekly,20169.54,44009.0,Fortnightly,No,16873.24,"1,110.0",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3.0
2020-2021,MANNINGHAM CITY COUNCIL,"125,821",50358,45088,Weekly,21347.18,44673.0,Fortnightly,No,16255.66,"1,110.0",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3.0
2021-2022,MANNINGHAM CITY COUNCIL,"125,821",49918,45491,Weekly,21367.88,45900.0,Fortnightly,No,15147.9,"1,110.0",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3.0
2022-2023,MANNINGHAM CITY COUNCIL,"125,821",49611,45526,Weekly,20256.8,45526.0,Fortnightly,No,15303.45,"1,110.0",43.3,61.8,"53,142","69,547",66.9,"5,309.00",46.7,3.4,1.9,4.4,37.4,1.1,3.3,6.5,4.4,6.9,15.8,3.3,0.9,1.2,43.5,46.3,"-1,005","44,574",2.7,"9,008",888,"34,680","35,767",3.0
