financial_year,council,Estimated resident population (no.),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2022-2023,BAYSIDE CITY COUNCIL,"102,328",42475,38843,Fortnightly,11467.6,34816.0,Weekly,Yes,18193.12,"2,749.9",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2018-2019,BENALLA RURAL CITY COUNCIL,"14,436",7448,7432,Fortnightly,2036.0,5662.0,Weekly,Yes,1557.7,6.1,51.0,56.6,"48,364","53,564",71.0,406.4,45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2019-2020,BENALLA RURAL CITY COUNCIL,"14,436",7542,7545,Fortnightly,2124.2,5830.0,Weekly,Yes,1712.0,6.1,51.0,56.6,"48,364","53,564",71.0,406.4,45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2020-2021,BENALLA RURAL CITY COUNCIL,"14,436",7177,7735,Fortnightly,2257.0,5747.0,Weekly,Yes,1998.28,6.1,51.0,56.6,"48,364","53,564",71.0,406.4,45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2021-2022,BENALLA RURAL CITY COUNCIL,"14,436",5286,6212,Fortnightly,2256.22,4944.0,Weekly,Yes,1921.84,6.1,51.0,56.6,"48,364","53,564",71.0,406.4,45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2022-2023,BENALLA RURAL CITY COUNCIL,"14,436",5126,6284,Fortnightly,2287.9,5899.0,Weekly,Yes,1793.8,6.1,51.0,56.6,"48,364","53,564",71.0,406.4,45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2018-2019,BOROONDARA CITY COUNCIL,"169,789",71927,62906,Weekly,35798.0,43821.0,Fortnightly,,15333.0,"2,821.5",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3.0
2019-2020,BOROONDARA CITY COUNCIL,"169,789",72459,58952,Weekly,38684.0,52414.0,Fortnightly,Yes,20528.0,"2,821.5",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3.0
2020-2021,BOROONDARA CITY COUNCIL,"169,789",63200,63200,Fortnightly,19237.0,63200.0,Weekly,Yes,30741.19,"2,821.5",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3.0
2021-2022,BOROONDARA CITY COUNCIL,"169,789",74441,74441,Fortnightly,17832.0,74441.0,Weekly,Yes,29261.0,"2,821.5",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3.0
2022-2023,BOROONDARA CITY COUNCIL,"169,789",73215,65217,Fortnightly,17513.0,57785.0,Weekly,Yes,28350.0,"2,821.5",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3.0
2018-2019,BRIMBANK CITY COUNCIL,"196,631",69869,69869,Weekly,42742.0,40942.0,Fortnightly,,11156.0,"1,593.5",37.6,66.6,"48,382","53,983",82.0,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2019-2020,BRIMBANK CITY COUNCIL,"196,631",70728,70728,Weekly,43951.0,42250.0,Fortnightly,,14911.0,"1,593.5",37.6,66.6,"48,382","53,983",82.0,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2020-2021,BRIMBANK CITY COUNCIL,"196,631",70733,70733,Weekly,46187.0,43904.0,Fortnightly,,15526.0,"1,593.5",37.6,66.6,"48,382","53,983",82.0,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2021-2022,BRIMBANK CITY COUNCIL,"196,631",71000,71000,Weekly,44388.0,43000.0,Fortnightly,Yes,15838.0,"1,593.5",37.6,66.6,"48,382","53,983",82.0,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
