financial_year_waste,council,topology,Median age - persons (years),Average household size (no. of persons),Estimated resident population (no.),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes
2022-2023,Bayside City Council,Metropolitan Suburb,45.4,2.5,"102,328",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"54,170","64,022",81.3,"6,799.30",42475,38843,Fortnightly,11467.6,34816.0,Weekly,Yes,18193.12
2018-2019,Benalla Rural City Council,Rural Area,51.0,2.2,"14,436",45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"48,364","53,564",71.0,406.4,7448,7432,Fortnightly,2036.0,5662.0,Weekly,Yes,1557.7
2019-2020,Benalla Rural City Council,Rural Area,51.0,2.2,"14,436",45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"48,364","53,564",71.0,406.4,7542,7545,Fortnightly,2124.2,5830.0,Weekly,Yes,1712.0
2020-2021,Benalla Rural City Council,Rural Area,51.0,2.2,"14,436",45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"48,364","53,564",71.0,406.4,7177,7735,Fortnightly,2257.0,5747.0,Weekly,Yes,1998.28
2021-2022,Benalla Rural City Council,Rural Area,51.0,2.2,"14,436",45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"48,364","53,564",71.0,406.4,5286,6212,Fortnightly,2256.22,4944.0,Weekly,Yes,1921.84
2022-2023,Benalla Rural City Council,Rural Area,51.0,2.2,"14,436",45.0,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"48,364","53,564",71.0,406.4,5126,6284,Fortnightly,2287.9,5899.0,Weekly,Yes,1793.8
2018-2019,Boroondara City Council,Metropolitan Suburb,40.4,2.5,"169,789",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","61,699","90,383",64.6,"11,716.10",71927,62906,Weekly,35798.0,43821.0,Fortnightly,,15333.0
2019-2020,Boroondara City Council,Metropolitan Suburb,40.4,2.5,"169,789",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","61,699","90,383",64.6,"11,716.10",72459,58952,Weekly,38684.0,52414.0,Fortnightly,Yes,20528.0
2020-2021,Boroondara City Council,Metropolitan Suburb,40.4,2.5,"169,789",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","61,699","90,383",64.6,"11,716.10",63200,63200,Fortnightly,19237.0,63200.0,Weekly,Yes,30741.19
2021-2022,Boroondara City Council,Metropolitan Suburb,40.4,2.5,"169,789",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","61,699","90,383",64.6,"11,716.10",74441,74441,Fortnightly,17832.0,74441.0,Weekly,Yes,29261.0
2022-2023,Boroondara City Council,Metropolitan Suburb,40.4,2.5,"169,789",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,32.4,28.7,"-3,136","61,699","90,383",64.6,"11,716.10",73215,65217,Fortnightly,17513.0,57785.0,Weekly,Yes,28350.0
2018-2019,Brimbank City Council,Metropolitan Suburb,37.6,2.9,"196,631",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","48,382","53,983",82.0,"5,672.60",69869,69869,Weekly,42742.0,40942.0,Fortnightly,,11156.0
2019-2020,Brimbank City Council,Metropolitan Suburb,37.6,2.9,"196,631",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","48,382","53,983",82.0,"5,672.60",70728,70728,Weekly,43951.0,42250.0,Fortnightly,,14911.0
2020-2021,Brimbank City Council,Metropolitan Suburb,37.6,2.9,"196,631",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","48,382","53,983",82.0,"5,672.60",70733,70733,Weekly,46187.0,43904.0,Fortnightly,,15526.0
2021-2022,Brimbank City Council,Metropolitan Suburb,37.6,2.9,"196,631",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","48,382","53,983",82.0,"5,672.60",71000,71000,Weekly,44388.0,43000.0,Fortnightly,Yes,15838.0
2022-2023,Brimbank City Council,Metropolitan Suburb,37.6,2.9,"196,631",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","48,382","53,983",82.0,"5,672.60",69932,71828,Weekly,42086.0,43500.0,Fortnightly,Yes,15869.0
2018-2019,Buloke Shire Council,Rural Area,52.0,2.2,"6,132",52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"40,576","46,127",62.1,186.1,2609,2609,Weekly,2176.0,,,,
2019-2020,Buloke Shire Council,Rural Area,52.0,2.2,"6,132",52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"40,576","46,127",62.1,186.1,2618,2615,Weekly,2164.0,,,,
2020-2021,Buloke Shire Council,Rural Area,52.0,2.2,"6,132",52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"40,576","46,127",62.1,186.1,2615,2615,Weekly,2297.0,,,,
2021-2022,Buloke Shire Council,Rural Area,52.0,2.2,"6,132",52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"40,576","46,127",62.1,186.1,2947,2493,Weekly,2045.9,,,,
2022-2023,Buloke Shire Council,Rural Area,52.0,2.2,"6,132",52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"40,576","46,127",62.1,186.1,2665,2636,Weekly,1830.0,,,,
2018-2019,Campaspe Shire Council,Rural Area,46.5,2.4,"38,556",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"47,020","51,938",73.7,"1,125.80",17892,16071,Weekly,7576.0,6658.0,Fortnightly,,1109.0
2019-2020,Campaspe Shire Council,Rural Area,46.5,2.4,"38,556",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"47,020","51,938",73.7,"1,125.80",17417,17925,Weekly,7443.0,7689.0,Fortnightly,Yes,3057.0
2020-2021,Campaspe Shire Council,Rural Area,46.5,2.4,"38,556",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"47,020","51,938",73.7,"1,125.80",17597,18132,Weekly,7973.0,8594.0,Fortnightly,Yes,3504.0
2021-2022,Campaspe Shire Council,Rural Area,46.5,2.4,"38,556",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"47,020","51,938",73.7,"1,125.80",15849,15356,Weekly,8009.18,9372.0,Fortnightly,Yes,3764.0
2022-2023,Campaspe Shire Council,Rural Area,46.5,2.4,"38,556",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"47,020","51,938",73.7,"1,125.80",12707,14757,Weekly,7327.93,9447.0,Fortnightly,Yes,3701.58
2018-2019,Cardinia Shire Council,Peri-Urban Area,34.4,2.8,"119,573",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","53,106","59,493",82.0,"3,881.20",38872,38872,Weekly,19852.41,22738.0,Fortnightly,,7255.54
2019-2020,Cardinia Shire Council,Peri-Urban Area,34.4,2.8,"119,573",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","53,106","59,493",82.0,"3,881.20",44507,44647,Weekly,21939.6,24542.0,Fortnightly,,9383.0
2020-2021,Cardinia Shire Council,Peri-Urban Area,34.4,2.8,"119,573",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","53,106","59,493",82.0,"3,881.20",44090,42496,Weekly,22395.77,26852.0,Fortnightly,Yes,10194.92
2021-2022,Cardinia Shire Council,Peri-Urban Area,34.4,2.8,"119,573",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","53,106","59,493",82.0,"3,881.20",44736,40959,Weekly,22609.45,25479.0,Fortnightly,Yes,10137.3
2022-2023,Cardinia Shire Council,Peri-Urban Area,34.4,2.8,"119,573",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","53,106","59,493",82.0,"3,881.20",42931,43285,Weekly,22771.22,28458.0,Fortnightly,Yes,10501.69
2018-2019,Casey City Council,Metropolitan Suburb,34.1,3.1,"369,558",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","52,717","58,271",82.8,"11,404.20",112622,110356,Weekly,61906.0,102883.0,Fortnightly,No,32039.0
2019-2020,Casey City Council,Metropolitan Suburb,34.1,3.1,"369,558",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","52,717","58,271",82.8,"11,404.20",118480,118566,Weekly,65759.0,109223.0,Fortnightly,No,39162.0
2020-2021,Casey City Council,Metropolitan Suburb,34.1,3.1,"369,558",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","52,717","58,271",82.8,"11,404.20",121061,121061,Weekly,67054.0,108805.0,Fortnightly,Yes,40342.3
2021-2022,Casey City Council,Metropolitan Suburb,34.1,3.1,"369,558",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","52,717","58,271",82.8,"11,404.20",129472,125069,Weekly,68443.4,113605.0,Fortnightly,Yes,39542.92
2022-2023,Casey City Council,Metropolitan Suburb,34.1,3.1,"369,558",39.0,10.5,6.3,5.0,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1.0,2.3,42.0,41.8,"2,336","52,717","58,271",82.8,"11,404.20",125807,126671,Weekly,67422.34,113497.0,Fortnightly,Yes,38614.87
2018-2019,Central Goldfields Shire Council,Rural Area,52.2,2.1,"13,388",44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"43,801","47,723",74.5,271.8,7254,6106,Weekly,2289.0,1300.0,Fortnightly,Yes,378.74
2019-2020,Central Goldfields Shire Council,Rural Area,52.2,2.1,"13,388",44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"43,801","47,723",74.5,271.8,7323,6136,Weekly,2086.0,1433.0,Fortnightly,Yes,520.87
2020-2021,Central Goldfields Shire Council,Rural Area,52.2,2.1,"13,388",44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"43,801","47,723",74.5,271.8,7334,6176,Weekly,2228.81,1636.0,Fortnightly,Yes,656.84
2021-2022,Central Goldfields Shire Council,Rural Area,52.2,2.1,"13,388",44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"43,801","47,723",74.5,271.8,6356,6242,Weekly,2414.18,1814.0,Other,Yes,585.06
2022-2023,Central Goldfields Shire Council,Rural Area,52.2,2.1,"13,388",44.2,0.1,0.3,0.5,45.0,1.0,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3.0,138,"43,801","47,723",74.5,271.8,6593,6313,Weekly,2410.43,2038.0,twice monthly,Yes,719.0
2018-2019,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,13608,9979,Weekly,5164.97,9979.0,Fortnightly,Yes,2557.51
2019-2020,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,13608,10111,Weekly,5325.76,10111.0,Fortnightly,Yes,3119.08
2020-2021,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,10265,10265,Weekly,4065.0,10265.0,Fortnightly,Yes,3327.0
2021-2022,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,12444,10598,Weekly,4114.0,10598.0,Fortnightly,Yes,3091.0
2022-2023,Colac Otway Shire Council,Rural Area,45.3,2.3,"22,309",43.3,0.4,0.4,0.8,46.2,1.3,3.7,0.8,0.3,1.0,1.7,0.9,0.3,0.3,10.3,5.8,-113,"45,992","50,431",72.1,681.7,11237,10600,Weekly,3907.0,10600.0,Fortnightly,Yes,3160.0
2018-2019,Corangamite Shire Council,Rural Area,47.7,2.3,"16,030",48.7,0.2,0.1,0.3,41.6,1.9,3.2,0.4,0.1,0.7,0.2,0.4,0.4,0.2,7.4,2.5,-72,"45,175","50,210",65.2,516.9,4743,4743,Weekly,1785.0,4743.0,Fortnightly,Yes,1759.0
