financial_year_waste,council,population,premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2019-2020,WANGARATTA RURAL CITY COUNCIL,28310,13939,13939,Fortnightly,4626,8805,Weekly,Yes,4177.05,8.2,45.3,58.7,"49,046","54,466",74.8,915.3,48.3,0.2,0.6,0.8,42,0.8,3.3,1.4,0.1,1.3,0.3,1,0.4,0.4,9,5.2,192,"11,847",2.3,"3,645",275,"7,927","8,054",2.9
2020-2021,WANGARATTA RURAL CITY COUNCIL,29179,14430,14462,Fortnightly,5408,8850,Weekly,Yes,5712,8.2,45.3,58.7,"49,046","54,466",74.8,915.3,48.3,0.2,0.6,0.8,42,0.8,3.3,1.4,0.1,1.3,0.3,1,0.4,0.4,9,5.2,192,"11,847",2.3,"3,645",275,"7,927","8,054",2.9
2021-2022,WANGARATTA RURAL CITY COUNCIL,29740,8894,8816,Fortnightly,4920,10269,Weekly,Yes,6133,8.2,45.3,58.7,"49,046","54,466",74.8,915.3,48.3,0.2,0.6,0.8,42,0.8,3.3,1.4,0.1,1.3,0.3,1,0.4,0.4,9,5.2,192,"11,847",2.3,"3,645",275,"7,927","8,054",2.9
2022-2023,WANGARATTA RURAL CITY COUNCIL,30086,11964,15265,Fortnightly,4841.96,10520,Weekly,Yes,4415.43,8.2,45.3,58.7,"49,046","54,466",74.8,915.3,48.3,0.2,0.6,0.8,42,0.8,3.3,1.4,0.1,1.3,0.3,1,0.4,0.4,9,5.2,192,"11,847",2.3,"3,645",275,"7,927","8,054",2.9
2018-2019,WARRNAMBOOL CITY COUNCIL,34500,15199,15199,Weekly,6059,15199,Fortnightly,Yes,1800,293,41.7,61.6,"48,627","54,270",77.5,"1,241.20",47.3,0.3,0.5,0.9,43.6,1.3,3,0.4,0.2,1.7,1,1,0.4,0.5,9.6,5.4,68,"13,993",2.3,"4,229",452,"9,310","9,426",2.9
2019-2020,WARRNAMBOOL CITY COUNCIL,35181,15892,15892,Weekly,5200,15892,Fortnightly,Yes,5707,293,41.7,61.6,"48,627","54,270",77.5,"1,241.20",47.3,0.3,0.5,0.9,43.6,1.3,3,0.4,0.2,1.7,1,1,0.4,0.5,9.6,5.4,68,"13,993",2.3,"4,229",452,"9,310","9,426",2.9
2020-2021,WARRNAMBOOL CITY COUNCIL,35500,15760,15760,Weekly,5453,15760,Fortnightly,Yes,6278.8,293,41.7,61.6,"48,627","54,270",77.5,"1,241.20",47.3,0.3,0.5,0.9,43.6,1.3,3,0.4,0.2,1.7,1,1,0.4,0.5,9.6,5.4,68,"13,993",2.3,"4,229",452,"9,310","9,426",2.9
2021-2022,WARRNAMBOOL CITY COUNCIL,35500,15912,16132,Fortnightly,4964.58,16132,Fortnightly,Yes,6125.06,293,41.7,61.6,"48,627","54,270",77.5,"1,241.20",47.3,0.3,0.5,0.9,43.6,1.3,3,0.4,0.2,1.7,1,1,0.4,0.5,9.6,5.4,68,"13,993",2.3,"4,229",452,"9,310","9,426",2.9
2022-2023,WARRNAMBOOL CITY COUNCIL,36229,15989,16572,Fortnightly,4900.86,16033,Fortnightly,Yes,6503.34,293,41.7,61.6,"48,627","54,270",77.5,"1,241.20",47.3,0.3,0.5,0.9,43.6,1.3,3,0.4,0.2,1.7,1,1,0.4,0.5,9.6,5.4,68,"13,993",2.3,"4,229",452,"9,310","9,426",2.9
2018-2019,WELLINGTON SHIRE COUNCIL,44019,22662,17819,Weekly,6897,,,,,4.2,44.4,60.2,"49,656","59,879",74.7,"1,396.90",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11,3.9,353,"17,538",2.3,"5,321",415,"11,797","11,979",2.8
2019-2020,WELLINGTON SHIRE COUNCIL,44019,19705,19705,Weekly,7283,,,,,4.2,44.4,60.2,"49,656","59,879",74.7,"1,396.90",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11,3.9,353,"17,538",2.3,"5,321",415,"11,797","11,979",2.8
2020-2021,WELLINGTON SHIRE COUNCIL,44770,25500,19941,Weekly,7752.75,,,,,4.2,44.4,60.2,"49,656","59,879",74.7,"1,396.90",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11,3.9,353,"17,538",2.3,"5,321",415,"11,797","11,979",2.8
2021-2022,WELLINGTON SHIRE COUNCIL,45452,24481,19667,Weekly,7790.03,,,,,4.2,44.4,60.2,"49,656","59,879",74.7,"1,396.90",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11,3.9,353,"17,538",2.3,"5,321",415,"11,797","11,979",2.8
2022-2023,WELLINGTON SHIRE COUNCIL,46421,21843,18774,Weekly,7592.01,,,,,4.2,44.4,60.2,"49,656","59,879",74.7,"1,396.90",41.9,0.3,0.4,0.6,45.8,1.4,4.8,0.9,0.2,1.6,0.3,0.8,0.5,0.5,11,3.9,353,"17,538",2.3,"5,321",415,"11,797","11,979",2.8
2018-2019,WEST WIMMERA SHIRE COUNCIL,3867,1400,1634,Weekly,897.6,,,,,0.4,50.8,56.3,"41,314","46,174",54.3,152.8,50.5,0.5,0.3,0.1,37.7,1,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"1,643",2.2,576,40,"1,021","1,034",2.8
2019-2020,WEST WIMMERA SHIRE COUNCIL,3862,1400,1635,Weekly,915,,,,,0.4,50.8,56.3,"41,314","46,174",54.3,152.8,50.5,0.5,0.3,0.1,37.7,1,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"1,643",2.2,576,40,"1,021","1,034",2.8
2020-2021,WEST WIMMERA SHIRE COUNCIL,3862,1400,1635,Weekly,965,,,,,0.4,50.8,56.3,"41,314","46,174",54.3,152.8,50.5,0.5,0.3,0.1,37.7,1,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"1,643",2.2,576,40,"1,021","1,034",2.8
2021-2022,WEST WIMMERA SHIRE COUNCIL,4006,1778,1168,Weekly,960.92,,,,,0.4,50.8,56.3,"41,314","46,174",54.3,152.8,50.5,0.5,0.3,0.1,37.7,1,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"1,643",2.2,576,40,"1,021","1,034",2.8
2022-2023,WEST WIMMERA SHIRE COUNCIL,3923,1457,1643,Weekly,991.16,,,,,0.4,50.8,56.3,"41,314","46,174",54.3,152.8,50.5,0.5,0.3,0.1,37.7,1,3.2,0.4,-,0.7,0.2,0.6,0.3,0.3,6.7,2.4,-65,"1,643",2.2,576,40,"1,021","1,034",2.8
2018-2019,WHITEHORSE CITY COUNCIL,176196,69103,65583,Weekly,27288,42388,Fortnightly,,12458,"2,661.40",39.2,65.8,"52,721","66,842",73.4,"6,787.30",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3,1.4,7.8,16.2,6.3,1,1,41.5,40.5,"-2,340","63,094",2.6,"15,879","2,992","44,225","45,342",3
2019-2020,WHITEHORSE CITY COUNCIL,178739,69103,62294,Weekly,27546,42950,Fortnightly,,15542,"2,661.40",39.2,65.8,"52,721","66,842",73.4,"6,787.30",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3,1.4,7.8,16.2,6.3,1,1,41.5,40.5,"-2,340","63,094",2.6,"15,879","2,992","44,225","45,342",3
2020-2021,WHITEHORSE CITY COUNCIL,180735,71346,64925,Weekly,28402,44850,Fortnightly,,16276,"2,661.40",39.2,65.8,"52,721","66,842",73.4,"6,787.30",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3,1.4,7.8,16.2,6.3,1,1,41.5,40.5,"-2,340","63,094",2.6,"15,879","2,992","44,225","45,342",3
2021-2022,WHITEHORSE CITY COUNCIL,171167,72321,63521,Weekly,27965,46799,Fortnightly,No,15418,"2,661.40",39.2,65.8,"52,721","66,842",73.4,"6,787.30",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3,1.4,7.8,16.2,6.3,1,1,41.5,40.5,"-2,340","63,094",2.6,"15,879","2,992","44,225","45,342",3
2022-2023,WHITEHORSE CITY COUNCIL,184507,71529,64802,Weekly,24699,48076,Fortnightly,No,18043.32,"2,661.40",39.2,65.8,"52,721","66,842",73.4,"6,787.30",38.6,1.6,3.8,5.4,43.9,1.3,3.6,3,1.4,7.8,16.2,6.3,1,1,41.5,40.5,"-2,340","63,094",2.6,"15,879","2,992","44,225","45,342",3
2018-2019,WHITTLESEA CITY COUNCIL,229791,76686,76686,Weekly,54408,43275,Fortnightly,,11263,473.4,35.3,66,"52,884","58,903",83.1,"7,101.70",47.2,9,6.2,3.3,24.3,1.8,2,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"75,971",2.9,"13,808","1,985","60,186","62,337",3.2
2019-2020,WHITTLESEA CITY COUNCIL,230238,78675,79258,Weekly,44644,46347,Fortnightly,Yes,17838,473.4,35.3,66,"52,884","58,903",83.1,"7,101.70",47.2,9,6.2,3.3,24.3,1.8,2,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"75,971",2.9,"13,808","1,985","60,186","62,337",3.2
2020-2021,WHITTLESEA CITY COUNCIL,236539,82195,82195,Weekly,44412.84,49881,Fortnightly,Yes,19076,473.4,35.3,66,"52,884","58,903",83.1,"7,101.70",47.2,9,6.2,3.3,24.3,1.8,2,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"75,971",2.9,"13,808","1,985","60,186","62,337",3.2
2021-2022,WHITTLESEA CITY COUNCIL,231799,82627,82627,Weekly,45468,52841,Fortnightly,Yes,19725,473.4,35.3,66,"52,884","58,903",83.1,"7,101.70",47.2,9,6.2,3.3,24.3,1.8,2,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"75,971",2.9,"13,808","1,985","60,186","62,337",3.2
2022-2023,WHITTLESEA CITY COUNCIL,252701,84925,85214,Weekly,44431,55446,Fortnightly,Yes,18993,473.4,35.3,66,"52,884","58,903",83.1,"7,101.70",47.2,9,6.2,3.3,24.3,1.8,2,8.8,5.3,4.7,2.2,10.9,0.7,1.4,37.6,45.1,874,"75,971",2.9,"13,808","1,985","60,186","62,337",3.2
2018-2019,WODONGA CITY COUNCIL,41429,17354,17354,Fortnightly,4770,17354,Weekly,Yes,6294,99.8,37.5,62.3,"53,368","57,239",81.4,"1,412.10",46,0.4,1.2,0.8,44.5,1.1,3.7,1,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"16,372",2.4,"4,605",437,"11,332","11,551",2.9
2019-2020,WODONGA CITY COUNCIL,41707,17509,17509,Fortnightly,4669,17509,Weekly,Yes,8051,99.8,37.5,62.3,"53,368","57,239",81.4,"1,412.10",46,0.4,1.2,0.8,44.5,1.1,3.7,1,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"16,372",2.4,"4,605",437,"11,332","11,551",2.9
2020-2021,WODONGA CITY COUNCIL,42662,17795,17795,Fortnightly,4847,17795,Weekly,Yes,9296,99.8,37.5,62.3,"53,368","57,239",81.4,"1,412.10",46,0.4,1.2,0.8,44.5,1.1,3.7,1,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"16,372",2.4,"4,605",437,"11,332","11,551",2.9
2021-2022,WODONGA CITY COUNCIL,43183,17896,17896,Fortnightly,5208,17896,Weekly,Yes,9951.22,99.8,37.5,62.3,"53,368","57,239",81.4,"1,412.10",46,0.4,1.2,0.8,44.5,1.1,3.7,1,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"16,372",2.4,"4,605",437,"11,332","11,551",2.9
2022-2023,WODONGA CITY COUNCIL,44820,18084,18876,Fortnightly,5112.5,18623,Weekly,Yes,9702.02,99.8,37.5,62.3,"53,368","57,239",81.4,"1,412.10",46,0.4,1.2,0.8,44.5,1.1,3.7,1,0.3,1.6,0.3,1.7,0.4,1.3,11.3,6.9,392,"16,372",2.4,"4,605",437,"11,332","11,551",2.9
2018-2019,WYNDHAM CITY COUNCIL,270478,89074,89074,Weekly,48477,28435,Fortnightly,Yes,7817,546.6,32.6,67.1,"54,596","61,764",83.5,"9,342.20",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","89,823",3.1,"13,668","2,977","73,173","76,145",3.3
2019-2020,WYNDHAM CITY COUNCIL,288212,107941,91256,Weekly,52403,33278,Fortnightly,Yes,11252,546.6,32.6,67.1,"54,596","61,764",83.5,"9,342.20",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","89,823",3.1,"13,668","2,977","73,173","76,145",3.3
2020-2021,WYNDHAM CITY COUNCIL,302650,114175,96488,Weekly,57282,33624,Fortnightly,Yes,13001,546.6,32.6,67.1,"54,596","61,764",83.5,"9,342.20",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","89,823",3.1,"13,668","2,977","73,173","76,145",3.3
2021-2022,WYNDHAM CITY COUNCIL,316048,110099,100957,Weekly,59152.2,38334,Fortnightly,Yes,14934.44,546.6,32.6,67.1,"54,596","61,764",83.5,"9,342.20",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","89,823",3.1,"13,668","2,977","73,173","76,145",3.3
2022-2023,WYNDHAM CITY COUNCIL,338379,103927,105146,Weekly,58169.55,42990,Fortnightly,Yes,14438.23,546.6,32.6,67.1,"54,596","61,764",83.5,"9,342.20",35.6,9.9,14.5,2.8,23.4,4.3,2.7,2.8,2.1,7.4,3.3,21.4,1.1,2.9,47.9,49.8,"4,719","89,823",3.1,"13,668","2,977","73,173","76,145",3.3
2018-2019,YARRA CITY COUNCIL,98521,46927,46927,Weekly,14428,,,,,"4,683.30",34.5,77.8,"67,032","82,909",81,"5,709.40",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20,"-2,244","40,646",2,"15,019","4,755","20,876","21,026",2.6
2019-2020,YARRA CITY COUNCIL,98521,46987,58820,Weekly,14895,,,,,"4,683.30",34.5,77.8,"67,032","82,909",81,"5,709.40",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20,"-2,244","40,646",2,"15,019","4,755","20,876","21,026",2.6
2020-2021,YARRA CITY COUNCIL,98521,46997,58820,Weekly,14895,,,,,"4,683.30",34.5,77.8,"67,032","82,909",81,"5,709.40",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20,"-2,244","40,646",2,"15,019","4,755","20,876","21,026",2.6
2021-2022,YARRA CITY COUNCIL,91543,50417,50417,Weekly,15390,1300,Weekly,Yes,214.88,"4,683.30",34.5,77.8,"67,032","82,909",81,"5,709.40",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20,"-2,244","40,646",2,"15,019","4,755","20,876","21,026",2.6
2022-2023,YARRA CITY COUNCIL,102367,50858,41071,Weekly,15542,1400,Weekly,Yes,200.25,"4,683.30",34.5,77.8,"67,032","82,909",81,"5,709.40",25.9,2.4,0.8,3.4,59.6,3.1,7.2,3.4,1.1,5.5,2.5,1.4,2.6,1.7,28.6,20,"-2,244","40,646",2,"15,019","4,755","20,876","21,026",2.6
