financial_year_waste,council,population,premises_residential,premises_with_garbage_service_residential,garbage_service_frequency,garbage_collected_total_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (%),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Total income (excl. Government pensions and allowances) ($m),Christianity (%),Islam (%),Hinduism (%),Buddhism (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (%),Speaks a language other than English at home (%),Net internal migration (no.),Total households (no.),Average household size (no. of persons),Lone person households (no.),Group households (no.),Family households (no.),Total families (no.),Average family size (no. of persons)
2018-2019,ALPINE SHIRE COUNCIL,12730,7085,5368,Weekly,2204,,,,,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2019-2020,ALPINE SHIRE COUNCIL,12730,7333,6285,Weekly,2085,0,,,0,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2020-2021,ALPINE SHIRE COUNCIL,12973,7409,6362,Weekly,2213,,,,,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2021-2022,ALPINE SHIRE COUNCIL,13235,5384,4257,Weekly,2259.1,,,,,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2022-2023,ALPINE SHIRE COUNCIL,13173,5338,6933,Weekly,2110,,,,,2.7,48.8,58.9,"42,526","50,135",69.4,392.6,40.9,0.2,0.5,0.6,48.5,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1,0.4,14.2,6.9,155,"5,222",2.3,"1,528",131,"3,567","3,617",2.7
2018-2019,ARARAT RURAL CITY COUNCIL,11795,5612,4411,Weekly,2600.92,,,,,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2019-2020,ARARAT RURAL CITY COUNCIL,11845,5618,4433,Weekly,2796.96,,,,,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2020-2021,ARARAT RURAL CITY COUNCIL,11845,5628,4465,Weekly,3041.29,,,,,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2021-2022,ARARAT RURAL CITY COUNCIL,11821,4763,4284,Weekly,2985.91,0,Other,No,,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2022-2023,ARARAT RURAL CITY COUNCIL,11610,4358,4665,Weekly,2559,4358,Fortnightly,No,540,2.8,46.2,60.6,"46,711","51,689",73.4,341.3,38.4,0.7,0.7,0.5,44.6,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,11.3,5,-5,"4,541",2.2,"1,473",127,"2,939","2,973",2.8
2018-2019,BALLARAT CITY COUNCIL,107325,47314,45900,Weekly,19438.66,35389,Fortnightly,No,8885.22,153.6,38.5,62.5,"51,302","58,747",79.2,"3,721.70",42,0.7,1.2,0.8,48,1,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,11.3,7,"1,678","44,654",2.4,"13,525","1,742","29,393","29,786",2.9
2019-2020,BALLARAT CITY COUNCIL,109505,48495,46768,Fortnightly,21884.82,37461,Fortnightly,No,10748.93,153.6,38.5,62.5,"51,302","58,747",79.2,"3,721.70",42,0.7,1.2,0.8,48,1,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,11.3,7,"1,678","44,654",2.4,"13,525","1,742","29,393","29,786",2.9
2020-2021,BALLARAT CITY COUNCIL,111361,49645,47911,Weekly,23705.68,37964,Fortnightly,No,10253.59,153.6,38.5,62.5,"51,302","58,747",79.2,"3,721.70",42,0.7,1.2,0.8,48,1,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,11.3,7,"1,678","44,654",2.4,"13,525","1,742","29,393","29,786",2.9
2021-2022,BALLARAT CITY COUNCIL,115000,50515,49096,Weekly,24348.36,37964,Fortnightly,No,12900,153.6,38.5,62.5,"51,302","58,747",79.2,"3,721.70",42,0.7,1.2,0.8,48,1,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,11.3,7,"1,678","44,654",2.4,"13,525","1,742","29,393","29,786",2.9
2022-2023,BALLARAT CITY COUNCIL,120205,47990,49103,Weekly,22802,39200,Fortnightly,No,12815.75,153.6,38.5,62.5,"51,302","58,747",79.2,"3,721.70",42,0.7,1.2,0.8,48,1,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,11.3,7,"1,678","44,654",2.4,"13,525","1,742","29,393","29,786",2.9
2018-2019,BANYULE CITY COUNCIL,130237,48463,48463,Weekly,20742,48463,Fortnightly,No,9064,"2,036.60",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3,4,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3
2019-2020,BANYULE CITY COUNCIL,131630,49900,49900,Weekly,21257,49900,Fortnightly,No,11754,"2,036.60",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3,4,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3
2020-2021,BANYULE CITY COUNCIL,136188,50200,50200,Weekly,22292,50200,Fortnightly,No,12185,"2,036.60",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3,4,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3
2021-2022,BANYULE CITY COUNCIL,137567,53701,49623,Weekly,20875,50200,Weekly,Yes,11285,"2,036.60",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3,4,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3
2022-2023,BANYULE CITY COUNCIL,131718,53134,53478,Fortnightly,16254,53478,Weekly,Yes,16869,"2,036.60",40.3,63.6,"61,256","73,550",75.8,"5,717.30",44.5,2.4,1.8,1.9,43.6,1.3,4.6,4.5,1.6,3,4,3.1,1.1,1.2,24.4,21.8,"-2,255","47,666",2.5,"11,903","1,484","34,279","34,785",3
2018-2019,BASS COAST SHIRE COUNCIL,32804,28062,26816,Fortnightly,4437,26816,Weekly,Yes,9383,47,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1,50.1,1.6,8,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2019-2020,BASS COAST SHIRE COUNCIL,36875,28340,27284,Fortnightly,4745,27284,Weekly,Yes,11105,47,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1,50.1,1.6,8,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2020-2021,BASS COAST SHIRE COUNCIL,37445,26308,28010,Fortnightly,5310.3,28010,Weekly,Yes,11899,47,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1,50.1,1.6,8,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2021-2022,BASS COAST SHIRE COUNCIL,40789,29729,27232,Fortnightly,5859.74,27232,Weekly,Yes,11997,47,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1,50.1,1.6,8,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2022-2023,BASS COAST SHIRE COUNCIL,43620,27707,27775,Fortnightly,5890.84,27775,Weekly,Yes,12234.76,47,51.2,55.7,"42,814","51,046",66.5,"1,026.60",39.2,0.2,0.4,1,50.1,1.6,8,1.7,0.2,1.1,0.4,0.9,0.7,0.6,15.1,5.1,"1,482","16,662",2.2,"5,347",411,"10,909","11,074",2.7
2018-2019,BAW BAW SHIRE COUNCIL,52015,20534,20269,Weekly,9532.82,20182,Fortnightly,No,5726.64,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1,0.5,0.7,12,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2019-2020,BAW BAW SHIRE COUNCIL,53396,21290,21056,Weekly,9948.26,20967,Fortnightly,No,7130.73,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1,0.5,0.7,12,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2020-2021,BAW BAW SHIRE COUNCIL,54884,24375,21883,Weekly,10840.76,21883,Fortnightly,No,7205.83,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1,0.5,0.7,12,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2021-2022,BAW BAW SHIRE COUNCIL,57580,22609,22951,Weekly,11247,21883,Fortnightly,No,7258.32,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1,0.5,0.7,12,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2022-2023,BAW BAW SHIRE COUNCIL,61974,23592,25259,Weekly,11268.99,23476,Fortnightly,No,7590.51,14.3,41.3,59.8,"50,344","58,316",74.5,"1,809.50",41.7,0.3,0.4,0.8,48.7,1.3,5.7,1.1,0.2,0.9,0.6,1,0.5,0.7,12,4.9,"1,529","21,441",2.5,"5,467",427,"15,542","15,843",2.9
2018-2019,BAYSIDE CITY COUNCIL,104030,38715,38715,Weekly,20131.4,29000,Fortnightly,,9766,"2,749.90",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2019-2020,BAYSIDE CITY COUNCIL,104030,38602,38602,Weekly,18555.36,31348,Fortnightly,Yes,13618,"2,749.90",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2020-2021,BAYSIDE CITY COUNCIL,107541,38800,38800,Weekly,17588.43,32000,Fortnightly,Yes,14105,"2,749.90",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2021-2022,BAYSIDE CITY COUNCIL,102337,40955,40955,Weekly,16808.46,38000,Fortnightly,Yes,14251.73,"2,749.90",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2022-2023,BAYSIDE CITY COUNCIL,106248,42475,38843,Fortnightly,11467.6,34816,Weekly,Yes,18193.12,"2,749.90",45.4,61.5,"54,170","64,022",81.3,"6,799.30",44.5,0.7,0.8,1.2,44.5,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,26.8,15.4,-749,"64,833",2.5,"16,347","4,206","44,280","45,959",2.9
2018-2019,BENALLA RURAL CITY COUNCIL,14024,7448,7432,Fortnightly,2036,5662,Weekly,Yes,1557.7,6.1,51,56.6,"48,364","53,564",71,406.4,45,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2019-2020,BENALLA RURAL CITY COUNCIL,14054,7542,7545,Fortnightly,2124.2,5830,Weekly,Yes,1712,6.1,51,56.6,"48,364","53,564",71,406.4,45,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2020-2021,BENALLA RURAL CITY COUNCIL,14137,7177,7735,Fortnightly,2257,5747,Weekly,Yes,1998.28,6.1,51,56.6,"48,364","53,564",71,406.4,45,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2021-2022,BENALLA RURAL CITY COUNCIL,14431,5286,6212,Fortnightly,2256.22,4944,Weekly,Yes,1921.84,6.1,51,56.6,"48,364","53,564",71,406.4,45,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2022-2023,BENALLA RURAL CITY COUNCIL,14593,5126,6284,Fortnightly,2287.9,5899,Weekly,Yes,1793.8,6.1,51,56.6,"48,364","53,564",71,406.4,45,0.4,0.5,0.5,42.9,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,9.3,3.6,51,"6,033",2.2,"1,999",160,"3,873","3,939",2.7
2018-2019,BOROONDARA CITY COUNCIL,181289,71927,62906,Weekly,35798,43821,Fortnightly,,15333,"2,821.50",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3,1.2,5.4,10.4,3.7,1.6,1,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3
2019-2020,BOROONDARA CITY COUNCIL,183199,72459,58952,Weekly,38684,52414,Fortnightly,Yes,20528,"2,821.50",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3,1.2,5.4,10.4,3.7,1.6,1,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3
2020-2021,BOROONDARA CITY COUNCIL,,63200,63200,Fortnightly,19237,63200,Weekly,Yes,30741.19,"2,821.50",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3,1.2,5.4,10.4,3.7,1.6,1,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3
2021-2022,BOROONDARA CITY COUNCIL,169901,74441,74441,Fortnightly,17832,74441,Weekly,Yes,29261,"2,821.50",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3,1.2,5.4,10.4,3.7,1.6,1,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3
2022-2023,BOROONDARA CITY COUNCIL,179309,73215,65217,Fortnightly,17513,57785,Weekly,Yes,28350,"2,821.50",40.4,65.8,"61,699","90,383",64.6,"11,716.10",41.5,1.1,2.6,3.3,45.2,1.6,4.6,3,1.2,5.4,10.4,3.7,1.6,1,32.4,28.7,"-3,136","62,715",2.5,"16,223","2,617","43,878","44,611",3
2018-2019,BRIMBANK CITY COUNCIL,208714,69869,69869,Weekly,42742,40942,Fortnightly,,11156,"1,593.50",37.6,66.6,"48,382","53,983",82,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2019-2020,BRIMBANK CITY COUNCIL,210321,70728,70728,Weekly,43951,42250,Fortnightly,,14911,"1,593.50",37.6,66.6,"48,382","53,983",82,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2020-2021,BRIMBANK CITY COUNCIL,208247,70733,70733,Weekly,46187,43904,Fortnightly,,15526,"1,593.50",37.6,66.6,"48,382","53,983",82,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2021-2022,BRIMBANK CITY COUNCIL,196712,71000,71000,Weekly,44388,43000,Fortnightly,Yes,15838,"1,593.50",37.6,66.6,"48,382","53,983",82,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2022-2023,BRIMBANK CITY COUNCIL,198628,69932,71828,Weekly,42086,43500,Fortnightly,Yes,15869,"1,593.50",37.6,66.6,"48,382","53,983",82,"5,672.60",48.3,6.7,3.1,11.1,21.2,2.3,1.8,10.4,3,18.9,1.6,7.2,1.3,1.6,48.1,57.3,"-6,275","63,949",2.9,"13,077","2,348","48,529","51,032",3.1
2018-2019,BULOKE SHIRE COUNCIL,6184,2609,2609,Weekly,2176,,,,,0.8,52,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2019-2020,BULOKE SHIRE COUNCIL,6230,2618,2615,Weekly,2164,,,,,0.8,52,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2020-2021,BULOKE SHIRE COUNCIL,6184,2615,2615,Weekly,2297,,,,,0.8,52,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2021-2022,BULOKE SHIRE COUNCIL,6201,2947,2493,Weekly,2045.9,,,,,0.8,52,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2022-2023,BULOKE SHIRE COUNCIL,5962,2665,2636,Weekly,1830,,,,,0.8,52,56.3,"40,576","46,127",62.1,186.1,52.9,0.2,0.4,0.6,35.8,0.9,2.3,0.5,0.1,1.1,0.2,0.8,0.2,0.4,6.4,3.3,-5,"2,555",2.2,884,65,"1,606","1,613",2.8
2018-2019,CAMPASPE SHIRE COUNCIL,37061,17892,16071,Weekly,7576,6658,Fortnightly,,1109,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2019-2020,CAMPASPE SHIRE COUNCIL,37061,17417,17925,Weekly,7443,7689,Fortnightly,Yes,3057,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2020-2021,CAMPASPE SHIRE COUNCIL,37675,17597,18132,Weekly,7973,8594,Fortnightly,Yes,3504,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2021-2022,CAMPASPE SHIRE COUNCIL,38735,15849,15356,Weekly,8009.18,9372,Fortnightly,Yes,3764,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2022-2023,CAMPASPE SHIRE COUNCIL,38048,12707,14757,Weekly,7327.93,9447,Fortnightly,Yes,3701.58,8.5,46.5,58.4,"47,020","51,938",73.7,"1,125.80",48.5,0.3,0.3,0.6,41.7,1.1,2.8,0.8,0.1,1.3,0.3,0.7,0.2,0.2,7.6,3.9,93,"15,079",2.4,"4,455",352,"10,273","10,459",2.9
2018-2019,CARDINIA SHIRE COUNCIL,107120,38872,38872,Weekly,19852.41,22738,Fortnightly,,7255.54,93.2,34.4,64.9,"53,106","59,493",82,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2019-2020,CARDINIA SHIRE COUNCIL,112159,44507,44647,Weekly,21939.6,24542,Fortnightly,,9383,93.2,34.4,64.9,"53,106","59,493",82,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2020-2021,CARDINIA SHIRE COUNCIL,116193,44090,42496,Weekly,22395.77,26852,Fortnightly,Yes,10194.92,93.2,34.4,64.9,"53,106","59,493",82,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2021-2022,CARDINIA SHIRE COUNCIL,119521,44736,40959,Weekly,22609.45,25479,Fortnightly,Yes,10137.3,93.2,34.4,64.9,"53,106","59,493",82,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2022-2023,CARDINIA SHIRE COUNCIL,130636,42931,43285,Weekly,22771.22,28458,Fortnightly,Yes,10501.69,93.2,34.4,64.9,"53,106","59,493",82,"3,881.20",38.4,2.6,2.7,2.3,44.3,2.1,5.6,1.6,1.1,2.3,0.9,7.5,0.8,1.5,23.5,17.8,"1,583","39,607",2.8,"7,656",886,"31,061","32,066",3.1
2018-2019,CASEY CITY COUNCIL,356555,112622,110356,Weekly,61906,102883,Fortnightly,No,32039,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39,10.5,6.3,5,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1,2.3,42,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2019-2020,CASEY CITY COUNCIL,369214,118480,118566,Weekly,65759,109223,Fortnightly,No,39162,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39,10.5,6.3,5,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1,2.3,42,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2020-2021,CASEY CITY COUNCIL,364600,121061,121061,Weekly,67054,108805,Fortnightly,Yes,40342.3,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39,10.5,6.3,5,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1,2.3,42,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2021-2022,CASEY CITY COUNCIL,369453,129472,125069,Weekly,68443.4,113605,Fortnightly,Yes,39542.92,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39,10.5,6.3,5,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1,2.3,42,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2022-2023,CASEY CITY COUNCIL,404764,125807,126671,Weekly,67422.34,113497,Fortnightly,Yes,38614.87,902.6,34.1,66.6,"52,717","58,271",82.8,"11,404.20",39,10.5,6.3,5,28.6,3.5,3.7,3.5,2.3,4.9,2.1,18.7,1,2.3,42,41.8,"2,336","113,365",3.1,"17,639","2,776","92,945","97,338",3.3
2018-2019,CENTRAL GOLDFIELDS SHIRE COUNCIL,12995,7254,6106,Weekly,2289,1300,Fortnightly,Yes,378.74,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45,1,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2019-2020,CENTRAL GOLDFIELDS SHIRE COUNCIL,12995,7323,6136,Weekly,2086,1433,Fortnightly,Yes,520.87,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45,1,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2020-2021,CENTRAL GOLDFIELDS SHIRE COUNCIL,12995,7334,6176,Weekly,2228.81,1636,Fortnightly,Yes,656.84,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45,1,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
2021-2022,CENTRAL GOLDFIELDS SHIRE COUNCIL,13581,6356,6242,Weekly,2414.18,1814,Other,Yes,585.06,8.7,52.2,54.6,"43,801","47,723",74.5,271.8,44.2,0.1,0.3,0.5,45,1,5.1,0.9,0.1,0.9,0.2,0.6,0.3,0.2,9.2,3,138,"5,774",2.1,"2,136",155,"3,483","3,540",2.7
